method,family,episode_index,repeat_index,position_in_cycle,dataset_index,phase,bucket,specialist,archetype,oracle_action,final_action,agent_modes,task_reqs,stage_pairs,route_labels,node_semantics,g_path,agent_fast_count,task_fast_count,ff,fast_on_deep,deep_on_fast,dd,match_count,match_rate,agent_majority,task_majority,pair_class,raw_terminal_penalty,raw_reasoning_cost_component,raw_path_cost_component,raw_total_cost,exact_match,terminal_success_proxy,policy_clean_proxy,policy_violation_count,clear_success_no_fallback,aux_exec_success,total_tokens,selected_path,original_task_id
risky_ps_safe_conditional,PS,0,0,0,19,trap_pre_switch,trap_favoring,False,trap_like_good,repair_all,repair_all,FFDDD,FFFFF,"F/F,F/F,D/F,D/F,D/F","trap_stage1_intake,general_stage2_core,general_stage3_network,general_stage4_verify,target_stage5_decision","trap_lane,general_shared,general_shared,general_shared,target_specialist",00000,2,5,2,0,3,0,2,0.4,deep,fast,agent_deep__task_fast,1.5,4.92712,0.06670000000000001,6.49382,False,False,True,0,,,41170.0,stage1_n4__from__root__c04 > stage2_n2__from__n0004__c02 > stage3_n3__from__n0016__c02 > stage4_n3__from__n0053__c02 > stage5_n2__from__n0147__c02,[mms_issue]airplane_mode_on|bad_network_preference|break_app_sms_permission[PERSONA:Hard]
risky_ps_safe_conditional,PS,1,0,1,13,trap_pre_switch,trap_favoring,False,neutral,repair_all,repair_all,DFDDF,FFFFF,"D/F,F/F,D/F,D/F,F/F","target_stage1_handoff,general_stage2_core,barrier_stage3_gate,general_stage4_verify,trap_stage5_terminal","general_shared,general_shared,private_barrier,general_shared,trap_lane",00100,2,5,2,0,3,0,2,0.4,deep,fast,agent_deep__task_fast,0.0,4.231905,0.06530000000000001,4.297205,True,True,True,0,,,37125.0,stage1_n3__from__root__c03 > stage2_n2__from__n0003__c02 > stage3_n5__from__n0013__c04 > stage4_n3__from__n0046__c02 > stage5_n4__from__n0130__c04,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_sms_permission[PERSONA:None]
risky_ps_safe_conditional,PS,2,0,2,7,trap_pre_switch,trap_favoring,False,neutral,repair_all,repair_all,FFDDD,FFFFF,"F/F,F/F,D/F,D/F,D/F","barrier_stage1_gate,trap_stage2_router,barrier_stage3_gate,general_stage4_verify,target_stage5_verify","private_barrier,trap_lane,private_barrier,general_shared,target_specialist",10100,2,5,2,0,3,0,2,0.4,deep,fast,agent_deep__task_fast,0.0,3.968365,0.07500000000000001,4.043365,True,True,True,0,,,33247.0,stage1_n5__from__root__c05 > stage2_n3__from__n0005__c01 > stage3_n5__from__n0020__c03 > stage4_n3__from__n0067__c02 > stage5_n1__from__n0193__c01,[mms_issue]airplane_mode_on|bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
risky_ps_safe_conditional,PS,3,0,3,25,trap_pre_switch,trap_favoring,False,neutral,repair_subset,repair_subset,DFDDD,FFFFF,"D/F,F/F,D/F,D/F,D/F","target_stage1_handoff,trap_stage2_router,barrier_stage3_gate,barrier_stage4_gate,target_stage5_decision","general_shared,trap_lane,private_barrier,private_barrier,target_specialist",00110,1,5,1,0,4,0,1,0.2,deep,fast,agent_deep__task_fast,6.0,5.680585,0.0758,11.756385,False,False,False,1,,,46852.0,stage1_n3__from__root__c03 > stage2_n3__from__n0003__c03 > stage3_n5__from__n0014__c03 > stage4_n5__from__n0049__c04 > stage5_n2__from__n0142__c01,[mms_issue]airplane_mode_on|break_app_both_permissions|data_usage_exceeded[PERSONA:Hard]
risky_ps_safe_conditional,PS,4,0,4,36,trap_pre_switch,trap_favoring,False,neutral,repair_all,repair_all,DFFDD,FFFFF,"D/F,F/F,F/F,D/F,D/F","general_stage1_verify,trap_stage2_router,trap_stage3_network,general_stage4_repair,target_stage5_verify","general_shared,trap_lane,trap_lane,general_shared,target_specialist",00000,2,5,2,0,3,0,2,0.4,deep,fast,agent_deep__task_fast,1.5,4.96472,0.06420000000000001,6.528919999999999,False,False,True,0,,,42821.0,stage1_n2__from__root__c02 > stage2_n3__from__n0002__c03 > stage3_n4__from__n0011__c02 > stage4_n2__from__n0039__c01 > stage5_n1__from__n0112__c01,[mms_issue]airplane_mode_on|break_app_storage_permission[PERSONA:Easy]
risky_ps_safe_conditional,PS,5,0,5,18,trap_pre_switch,trap_favoring,False,trap_safe_overcautious,repair_all,repair_all,FDDDD,FFFFF,"F/F,D/F,D/F,D/F,D/F","general_stage1_intake,target_stage2_router,target_stage3_roaming,target_stage4_repair,target_stage5_verify","general_shared,target_specialist,target_specialist,target_specialist,target_specialist",00000,1,5,1,0,4,0,1,0.2,deep,fast,agent_deep__task_fast,1.5,4.083575,0.0752,5.6587749999999994,False,False,True,0,,,33674.0,stage1_n1__from__root__c01 > stage2_n1__from__n0001__c01 > stage3_n2__from__n0006__c02 > stage4_n1__from__n0024__c01 > stage5_n1__from__n0075__c01,[mms_issue]bad_network_preference[PERSONA:None]
risky_ps_safe_conditional,PS,6,0,6,24,trap_pre_switch,trap_favoring,False,neutral,repair_all,repair_all,DFDFF,FFFFF,"D/F,F/F,D/F,F/F,F/F","general_stage1_verify,trap_stage2_router,barrier_stage3_gate,trap_stage4_execute,trap_stage5_terminal","general_shared,trap_lane,private_barrier,trap_lane,trap_lane",00100,3,5,3,0,2,0,3,0.6,fast,fast,agent_fast__task_fast,1.5,3.70428,0.0632,5.26748,False,False,True,0,,,36528.0,stage1_n2__from__root__c02 > stage2_n3__from__n0002__c03 > stage3_n5__from__n0011__c03 > stage4_n4__from__n0040__c03 > stage5_n4__from__n0118__c03,[mms_issue]bad_network_preference|break_app_storage_permission[PERSONA:None]
risky_ps_safe_conditional,PS,7,0,7,23,trap_pre_switch,trap_favoring,False,trap_like_good,repair_all,repair_all,FFFDD,FFFFF,"F/F,F/F,F/F,D/F,D/F","trap_stage1_intake,trap_stage2_router,trap_stage3_network,general_stage4_verify,target_stage5_verify","trap_lane,trap_lane,trap_lane,general_shared,target_specialist",00000,3,5,3,0,2,0,3,0.6,fast,fast,agent_fast__task_fast,0.0,8.303815,0.0601,8.363915,True,True,True,0,,,72253.0,stage1_n4__from__root__c04 > stage2_n3__from__n0004__c03 > stage3_n4__from__n0017__c02 > stage4_n3__from__n0057__c02 > stage5_n1__from__n0159__c01,[mms_issue]bad_wifi_calling[PERSONA:Easy]
risky_ps_safe_conditional,PS,8,0,8,61,trap_pre_switch,trap_favoring,False,trap_like_good,repair_all,repair_all,FDDDD,FFFFF,"F/F,D/F,D/F,D/F,D/F","trap_stage1_intake,general_stage2_roaming,barrier_stage3_gate,barrier_stage4_gate,barrier_stage5_transfer","trap_lane,general_shared,private_barrier,private_barrier,private_barrier",00111,1,5,1,0,4,0,1,0.2,deep,fast,agent_deep__task_fast,0.0,4.67098,0.0726,4.74358,True,True,True,0,,,38203.0,stage1_n4__from__root__c04 > stage2_n4__from__n0004__c04 > stage3_n5__from__n0018__c03 > stage4_n5__from__n0061__c04 > stage5_n5__from__n0175__c03,[mms_issue]bad_wifi_calling|break_app_storage_permission[PERSONA:Easy]
risky_ps_safe_conditional,PS,9,0,9,0,trap_pre_switch,trap_favoring,False,neutral,repair_all,repair_all,DFFDD,FFFFF,"D/F,F/F,F/F,D/F,D/F","target_stage1_handoff,general_stage2_core,trap_stage3_network,barrier_stage4_gate,barrier_stage5_transfer","general_shared,general_shared,trap_lane,private_barrier,private_barrier",00011,2,5,2,0,3,0,2,0.4,deep,fast,agent_deep__task_fast,1.5,9.54499,0.0731,11.11809,False,False,True,0,,,81673.0,stage1_n3__from__root__c03 > stage2_n2__from__n0003__c02 > stage3_n4__from__n0013__c03 > stage4_n5__from__n0045__c04 > stage5_n5__from__n0128__c03,[mms_issue]break_app_both_permissions[PERSONA:Hard]
